l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,expl_prsnl_deal,맞춤 혜택/딜 추천,expl_prsnl_deal_01,T deal 맞춤 상품 추천,T멤버십
,,,,,expl_prsnl_deal_02,미적용 혜택 안내 (결합/할인),T멤버십
,expl_ext,외부 채널 탐색,expl_ext_search,외부 채널에서 상품 탐색(서비스/상품 등),expl_ext_search_01,포털/검색엔진 탐색,
,,,,,expl_ext_search_02,온라인 커뮤니티/카페 탐색,
,,,,,expl_ext_search_03,영상 콘텐츠 탐색,
,,,,,expl_ext_search_04,가격비교 사이트 탐색,
,,,,,expl_ext_search_05,SNS 채널 탐색,
구매/가입/개통,ord_phone, 휴대폰 및 스마트 기기 주문,ord_phone_order,디바이스 주문,ord_phone_order_01,디바이스 및 디바이스 옵션 선택,T다이렉트
,,,,,ord_phone_order_02,배송방법 선택 (택배/바로도착/바로픽업),T다이렉트
,,,,,ord_phone_order_03,배송정보 작성 및 확인,T다이렉트
,,,ord_phone_form,주문서 작성,ord_phone_form_01,가입 유형 선택(기기변경/번호이동/신규가입),"T월드, T다이렉트"
,,,,,ord_phone_form_02,가입자 정보 확인,"T월드, T다이렉트"
,,,,,ord_phone_form_03,요금제 및 부가서비스 선택,"T월드, T다이렉트"
,,,,,ord_phone_form_04,휴대폰 보험 선택,"T월드, T다이렉트"
,,,,,ord_phone_form_05,할인 방법 및 할부기간 선택,"T월드, T다이렉트"
,,,,,ord_phone_form_06,예상 월 납부금액 확인,"T월드, T다이렉트"
,,,,,ord_phone_form_07,포인트 및 이용권 할인,"T월드, T다이렉트"
,,,,,ord_phone_form_08,혜택 선택 ,"T월드, T다이렉트"
,,,,,ord_phone_form_09,제휴 카드 신청,"T월드, T다이렉트"
,,,,,ord_phone_form_10,주문 확인(휴대폰 월 할부금/월 통신요금/월 납부금액),"T월드, T다이렉트"
,,,ord_phone_apply,신청서 작성,ord_phone_apply_01,본인 인증,"T월드, T다이렉트"
